baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000225259	659.48769352744	-8.28745777298916	0.338820477224999	-24.459731126244	3.96507537785711e-132	4.88960962033341e-130
ENSG00000234975	396.398260271427	-6.76157522355124	0.277225382259229	-24.3901736862918	2.17431847222814e-131	2.6667307044985e-129
ENSG00000144713	27337.872686475	1.71668276686612	0.0705733174442219	24.3248132443669	1.0712445739607e-130	1.30674466489574e-128
ENSG00000183298	182.584652727795	-4.73867629551954	0.196194584042624	-24.152941421105	6.95376276530258e-129	8.43685829702061e-127
ENSG00000230043	1140.68776698111	-7.88307005172464	0.327342293803931	-24.0820395070806	3.85589788518729e-128	4.65326457620436e-126
ENSG00000224546	599.759962483926	-8.74765965210578	0.363935027894273	-24.0363223697365	1.16047495682522e-127	1.39300203992951e-125
ENSG00000236698	1197.4068289591	-9.60717951206995	0.400575329580322	-23.9834528055816	4.13884215963366e-127	4.94186513314565e-125
ENSG00000165637	2381.70557798363	1.847965538836	0.0775180986784495	23.8391494417516	1.31224723050556e-125	1.55860438162205e-123
ENSG00000140905	567.699093166708	5.81686330372616	0.244292997023471	23.8110112635251	2.5684750955823e-125	3.03470039172805e-123
ENSG00000213189	436.014977560761	-5.8610363325657	0.247513758920709	-23.67963849009	5.84583593748565e-124	6.87098852089785e-122
ENSG00000244363	437.202972646652	-5.13741662134046	0.217264667686189	-23.6458908668979	1.30099286759698e-123	1.52121792969228e-121
ENSG00000217241	1930.07106497217	-10.6784442060407	0.452855578862894	-23.5802421444249	6.14762403191097e-123	7.1512078107286e-121
ENSG00000213326	560.801269340823	-6.34437633355485	0.269148093633313	-23.5720649101027	7.45734169250761e-123	8.63024769101637e-121
ENSG00000182004	2919.36250614358	1.81590861657801	0.0772818500522352	23.4972197915893	4.35461344097958e-122	5.01380415931562e-120
ENSG00000228205	4799.81572102335	-13.1941739977862	0.563869530216245	-23.3993384830108	4.34036438508213e-121	4.97203061310398e-119
ENSG00000213985	408.247151680337	-5.16316958348223	0.222923253178282	-23.1611979004855	1.12116870159149e-118	1.27784919640481e-116
ENSG00000259781	1749.33729276662	-3.07774070416682	0.134338591536099	-22.9103243451811	3.66604998400106e-116	4.15737437130411e-114
ENSG00000197258	2224.69932141904	-6.99276337889768	0.305475549297914	-22.8914012757139	5.6592568439867e-116	6.38562245991239e-114
ENSG00000226049	707.718273872299	-7.46764697897888	0.326335042861662	-22.8833744408642	6.80294257348122e-116	7.63791069929108e-114
ENSG00000235105	224.91133102518	-6.58488592144694	0.2890697483625	-22.7795746830947	7.30968923416658e-115	8.16622559145729e-113
