baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000231167	570.209554115741	-0.39531521955076	1.67188215401451	3029.81303852027	0	0	YBX1P2
ENSG00000231245	302.818313389474	-4.06235952746617	1.04621589708754	1639.64960504002	0	0	C1DP1
ENSG00000231500	42236.820972894	-0.248226910352911	0.153667360009059	3617.70725100967	0	0	RPS18
ENSG00000231579	300.719982681587	2.46291578796116	1.5654871808428	2247.13512769385	0	0	RPL7P21
ENSG00000231767	1222.01868861187	-0.0378316206003806	1.32540984332911	4046.35365824049	0	0	MIR4426
ENSG00000231822	559.91081716752	-0.808687656384998	0.957811697764293	2158.92518832474	0	0	AC019097.7
ENSG00000231841	463.17505528873	2.03910098961457	1.3980020708943	1663.47628305333	0	0	RP11-206F17.2
ENSG00000231848	781.346468595288	-1.97693735504207	1.68044420239385	1884.56126768255	0	0	AC012354.8
ENSG00000231989	421.435232859339	-0.987406232225143	1.56474662850572	2731.52124706643	0	0	PPP1R2P3
ENSG00000231991	4928.60665955749	-1.07318267040704	0.38239771899506	4057.87600533961	0	0	ANXA2P2
ENSG00000232024	856.491387264025	0.0682461745622071	0.280560392349378	3537.9097581919	0	0	LSM12P1
ENSG00000232112	2829.44569445708	0.0795877519971519	0.144217580543464	1578.11720791446	0	0	TMA7
ENSG00000232187	392.968143658799	1.56218933327302	1.56727421318603	2161.94662855119	0	0	FTH1P7
ENSG00000232346	1247.10493147594	-0.516493210837112	1.4488788223646	4561.24417024486	0	0	SC22CB-1E7.1
ENSG00000232472	6011.89088687704	-0.71998075333891	0.360780536509007	6673.47809814955	0	0	EEF1B2P3
ENSG00000232499	525.277002752929	-3.0779288928531	1.36417451303596	1573.69711132398	0	0	RP11-512F24.1
ENSG00000232531	292.620546171129	1.55328176807488	1.6730988013947	2110.83442194027	0	0	AC027612.1
ENSG00000232553	331.740788713018	0.593808340655345	1.67619236996477	1814.48508876725	0	0	AC006026.10
ENSG00000232573	14376.0765911204	0.0974530587613465	0.221955455746022	2239.11370895606	0	0	RPL3P4
ENSG00000232842	405.366328612832	2.03487168527801	1.67654617903231	1891.31800865345	0	0	RP5-961K14.1
ENSG00000233178	210.325542503704	1.34822299292064	1.25838832314215	1880.30241399282	0	0	RP11-88I18.2
ENSG00000233225	323.458382495405	-0.447142448764688	1.6726896232872	2332.86682716816	0	0	AC004987.9
ENSG00000233247	417.81339504499	-1.71711539405071	1.56725126016387	2250.80732471297	0	0	GS1-257G1.1
ENSG00000233270	1612.08303191037	0.993780214442783	0.49810081326892	3375.84723190822	0	0	SNRPEP4
ENSG00000233328	586.75876657701	0.40535691995971	1.4572370537742	1995.24148056232	0	0	PFN1P1
ENSG00000233347	449.338443848565	2.58694029185507	1.45228487745173	2351.34578194445	0	0	ERP29P1
ENSG00000233426	2689.91336603503	-4.42018939878118	0.340265662570727	2025.43377459121	0	0	EIF3FP3
ENSG00000233558	2374.41183933932	-2.09320700338538	1.17286342370909	1981.75839525691	0	0	RP3-486I3.4
ENSG00000233585	329.41431663881	0.21354178907712	1.26800086149197	1571.72571542886	0	0	AC115617.2
ENSG00000233588	279.693495792804	-1.37884318657869	0.683331054787646	1718.21179125588	0	0	CYP51A1P2
ENSG00000233762	2944.16624765081	-0.236846239750954	0.267425512378152	4811.32866426399	0	0	AC007969.5
ENSG00000233830	1895.01888160025	0.932950718587127	0.432795606724584	4812.20430111779	0	0	EIF4HP1
